text,label
It 's Splash without the jokes .,NEGATIVE
"does n't have the necessary self-control to guide a loose , poorly structured film through the pitfalls of incoherence and redundancy",NEGATIVE
definitely tasty and sweet,POSITIVE
", with humor , warmth , and intelligence , captures a life interestingly lived",POSITIVE
this is a seriously intended movie that is not easily forgotten .,POSITIVE
"Sillier , cuter , and shorter than the first -LRB- as best I remember -RRB- , but still a very good time at the cinema .",POSITIVE
"A laughable -- or rather , unlaughable -- excuse for a film .",NEGATIVE
There 's already been too many of these films ...,NEGATIVE
"a crummy , wannabe-hip crime comedy that refers incessantly to old movies , when you could just rent those movies instead , let alone seek out a respectable new one",NEGATIVE
's hard to understand why anyone in his right mind would even think to make the attraction a movie .,NEGATIVE
"A hugely rewarding experience that 's every bit as enlightening , insightful and entertaining as Grant 's two best films -- Four Weddings and a Funeral and Bridget Jones 's Diary",POSITIVE
"Exhilarating , funny and fun",POSITIVE
flawed but rather unexceptional,NEGATIVE
No amount of good intentions is able to overcome the triviality of the story .,NEGATIVE
combined with so much first-rate talent,POSITIVE
a fudged opportunity,NEGATIVE
baffled by Jason X.,NEGATIVE
This movie plays like an extended dialogue exercise in Retard 101 .,NEGATIVE
The worst film of the year .,NEGATIVE
"a rushed , slapdash , sequel-for-the-sake - of-a-sequel with less than half",NEGATIVE
"A delicious , quirky movie with a terrific screenplay and fanciful direction by Michael Gondry .",POSITIVE
"This is an extraordinary film , not least because it is Japanese and yet feels universal .",POSITIVE
"-- more revealing , more emotional and more surprising --",POSITIVE
extremely funny,POSITIVE
about as exciting to watch as two last-place basketball teams playing one another on the final day of the season,NEGATIVE
is n't very interesting,NEGATIVE
"I loved on first sight and , even more important ,",POSITIVE
that breathes extraordinary life into the private existence of the Inuit people,POSITIVE
ultimate movie experience,POSITIVE
The cast is top-notch and,POSITIVE
an 88-minute rip-off of The Rock,NEGATIVE
` Santa Clause 2 ' is wondrously creative .,POSITIVE
"Tunney , brimming with coltish , neurotic energy , holds the screen like a true star .",POSITIVE
"you want to bang your head on the seat in front of you , at its cluelessness , at its idiocy , at its utterly misplaced earnestness",NEGATIVE
makes even Jason X ... look positively Shakesperean by comparison,NEGATIVE
"An empty , purposeless",NEGATIVE
genuine depth,POSITIVE
the potential success inherent in the mixture of Bullock Bubble and Hugh Goo,POSITIVE
"that between the son and his wife , and the wife and the father , and between the two brothers , with incredible subtlety and acumen",POSITIVE
"that not only would subtlety be lost on the target audience , but that it 's also too stupid to realize that they 've already seen this exact same movie a hundred times",NEGATIVE
I do n't blame Eddie Murphy but should n't Owen Wilson know a movie must have a story and a script ?,NEGATIVE
"Anyone else who may , for whatever reason , be thinking about going to see this movie",NEGATIVE
Skillfully weaves both the elements of the plot and a powerfully evocative mood combining heated sexuality with a haunting sense of malaise .,POSITIVE
this waste of time,NEGATIVE
a compelling piece,POSITIVE
is entertainment opportunism at its most glaring .,NEGATIVE
has a true talent for drawing wrenching performances from his actors -LRB- improvised over many months -RRB- and for conveying the way tiny acts of kindness make ordinary life survivable .,POSITIVE
An intelligent romantic thriller of a very old-school kind,POSITIVE
"A mostly believable , refreshingly low-key and quietly inspirational little sports",POSITIVE
"outrageous , ingenious",POSITIVE
excellent,POSITIVE
"takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch",POSITIVE
derivative elements into something that is often quite rich and exciting,POSITIVE
the most high-concept sci fi adventures,POSITIVE
"to boring , self-important stories of how horrible we are to ourselves and each other",NEGATIVE
superb performances,POSITIVE
Dripping with cliche and bypassing no opportunity to trivialize the material .,NEGATIVE
A film that will probably please people,POSITIVE
showboating wise-cracker stock persona,NEGATIVE
has a lot of charm .,POSITIVE
"I was trying to decide what annoyed me most about God is Great ... I 'm Not , and then I realized that I just did n't care",NEGATIVE
"has improved upon the first and taken it a step further , richer and deeper .",POSITIVE
you 're the kind of parent who enjoys intentionally introducing your kids to films which will cause loads of irreparable damage that years and years of costly analysis could never fix,NEGATIVE
inspire even the most retiring heart to venture forth,POSITIVE
", it 's kind of insulting , both to men and women .",NEGATIVE
The beautifully choreographed kitchen ballet,POSITIVE
"A film of epic scale with an intimate feeling , a saga of the ups and downs of friendships",POSITIVE
emotionally satisfying,POSITIVE
"Once the expectation of laughter has been quashed by whatever obscenity is at hand , even the funniest idea is n't funny .",NEGATIVE
's rare for any movie to be as subtle and touching as The Son 's Room .,POSITIVE
"clumsy dialogue , heavy-handed phoney-feeling sentiment",NEGATIVE
"fresh , entertaining comedy",POSITIVE
"incompetent , incoherent or just plain crap",NEGATIVE
Tackles the difficult subject of grief and loss with such life-embracing spirit that the theme does n't drag an audience down,POSITIVE
solidly entertaining and moving,POSITIVE
bore that tends to hammer home every one of its points,NEGATIVE
'm giving it thumbs down due to the endlessly repetitive scenes of embarrassment .,NEGATIVE
"about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights",POSITIVE
drab and inert,NEGATIVE
"a heavy stench of ` been there , done that ' hanging over the film",NEGATIVE
gives his best screen performance,POSITIVE
their feces,NEGATIVE
It 's so devoid of joy and energy it makes even Jason X ... look positively Shakesperean by comparison .,NEGATIVE
that is often quite rich and exciting,POSITIVE
"that zings all the way through with originality , humour and pathos",POSITIVE
"funny , charming and quirky",POSITIVE
is powerful and provocative .,POSITIVE
"is badly edited , often awkwardly directed and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a ` back story",NEGATIVE
"Fails as a dystopian movie , as a retooling of Fahrenheit 451 , and even as a rip-off of The Matrix",NEGATIVE
damned wonderful,POSITIVE
above its oh-so-Hollywood rejiggering and its conventional direction to give the film a soul and an unabashed sense of good old-fashioned escapism,POSITIVE
this is cinema,POSITIVE
too immature and unappealing to care about,NEGATIVE
"fast , funny , and even touching story",POSITIVE
This painfully unfunny farce traffics in tired stereotypes and encumbers itself with complications ...,NEGATIVE
"... as stiff , ponderous and charmless as a mechanical apparatus",NEGATIVE
Below is well below expectations .,NEGATIVE
a brainless flibbertigibbet,NEGATIVE
"is , in a word , brilliant",POSITIVE
enjoyably over-the-top,POSITIVE
"because it has some of the funniest jokes of any movie this year , including those intended for adults",POSITIVE
but never less than pure wankery .,NEGATIVE
the most enchanting film of the year,POSITIVE
'll still be glued to the screen,POSITIVE
Stale and,NEGATIVE
of bringing a barf bag to the moviehouse,NEGATIVE
it 's good enough to be the purr,POSITIVE
profoundly stupid,NEGATIVE
the most savory and hilarious guilty pleasure of many a recent movie season,POSITIVE
more satisfying during a summer of event movies than a spy thriller like The Bourne Identity that 's packed with just as much intelligence as action,POSITIVE
there 's much to recommend the film .,POSITIVE
makes a feature debut that is fully formed and remarkably assured,POSITIVE
sordid and disgusting,NEGATIVE
seem to match the power of their surroundings .,POSITIVE
's badder than bad,NEGATIVE
a skillful filmmaker,POSITIVE
thoroughly entertaining,POSITIVE
"a revealing look at the collaborative process and a timely , tongue-in-cheek profile of the corporate circus that is the recording industry in the current climate of mergers and downsizing",POSITIVE
"This movie , a certain scene in particular , brought me uncomfortably close to losing my lunch .",NEGATIVE
effectively creepy-scary thriller,POSITIVE
"'s sweet , funny , charming , and completely delightful .",POSITIVE
churn out one mediocre movie after another,NEGATIVE
It 's hard to imagine acting that could be any flatter .,NEGATIVE
"One of those staggeringly well-produced ,",POSITIVE
Eckstraordinarily lame and Severely,NEGATIVE
"touching , smart and complicated",POSITIVE
It 's also not smart or barbed enough for older viewers -- not everyone thinks poo-poo jokes are ` edgy,NEGATIVE
"Even as I valiantly struggled to remain interested , or at least conscious , I could feel my eyelids ... getting ... very ... heavy ...",NEGATIVE
"catch the pitch of his poetics , savor the pleasure of his sounds and images ,",POSITIVE
Nicholas Nickleby '' is a perfect family film to take everyone to since there 's no new `` A Christmas Carol '' out in the theaters this year .,POSITIVE
Kidman has become one of our best actors,POSITIVE
's so badly made on every level that I 'm actually having a hard time believing people were paid to make it,NEGATIVE
a well-balanced fashion,POSITIVE
magnetic performance,POSITIVE
sits in the place where a masterpiece should be,POSITIVE
taken the protagonists a full hour,NEGATIVE
this a superior movie,POSITIVE
very enjoyable,POSITIVE
Smart and fun,POSITIVE
"A directorial tour de force by Bernard Rose , ivans",POSITIVE
", Queen Of The Damned is a pointless , meandering celebration of the goth-vampire , tortured woe-is-me lifestyle .",NEGATIVE
a huge cut of above the rest,POSITIVE
David Caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- driven by a natural sense for what works on screen .,POSITIVE
A terrifically entertaining specimen,POSITIVE
One of the most depressing movie-going experiences I can think of,NEGATIVE
hot,POSITIVE
is impressive for the sights and sounds of the wondrous beats the world has to offer .,POSITIVE
"candid , archly funny and deeply authentic",POSITIVE
farcical and loathsome,NEGATIVE
an unimaginative screenwriter 's invention,NEGATIVE
is extraordinary .,POSITIVE
is a masterpiece of elegant wit and artifice,POSITIVE
"'s as sorry a mess as its director 's diabolical debut , Mad Cows",NEGATIVE
"has hugely imaginative and successful casting to its great credit , as well as one terrific score and attitude to spare .",POSITIVE
than like being stuck in a dark pit having a nightmare about bad cinema,NEGATIVE
Elizabeth Hurley seem graceless and ugly,NEGATIVE
with a screenplay to die for,POSITIVE
"poorly scripted ,",NEGATIVE
"there is almost nothing in this flat effort that will amuse or entertain them , either .",NEGATIVE
"Laced with liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances , No Such Thing is a fascinating little tale .",POSITIVE
90 punitive minutes,NEGATIVE
", this sad , occasionally horrifying but often inspiring film is among Wiseman 's warmest .",POSITIVE
